net,length_um
regfile.registers\[28\]\[17\],24.76
_2470_,24.74
_3021_,24.74
regfile.registers\[29\]\[20\],24.74
regfile.registers\[4\]\[7\],24.74
_2906_,24.72
regfile.registers\[8\]\[8\],24.7
_2847_,24.64
regfile.registers\[8\]\[31\],24.6
regfile.registers\[11\]\[26\],24.58
regfile.registers\[7\]\[7\],24.58
regfile.registers\[18\]\[0\],24.56
regfile.registers\[19\]\[15\],24.56
_2345_,24.52
_2502_,24.52
_3308_,24.52
regfile.registers\[15\]\[17\],24.52
regfile.registers\[15\]\[24\],24.52
regfile.registers\[31\]\[1\],24.47
_1539_,24.42
_2521_,24.42
_1829_,24.4
regfile.registers\[4\]\[29\],24.32
_2718_,24.3
_2712_,24.28
_1825_,24.24
regfile.registers\[17\]\[9\],24.24
regfile.registers\[30\]\[17\],24.235
_2688_,24.22
regfile.registers\[6\]\[10\],24.215
regfile.registers\[23\]\[8\],24.19
_1103_,24.18
regfile.registers\[4\]\[21\],24.18
regfile.registers\[0\]\[28\],24.16
regfile.registers\[11\]\[11\],24.16
regfile.registers\[8\]\[28\],24.16
_2331_,24.14
_1949_,24.12
regfile.registers\[14\]\[15\],24.12
regfile.registers\[27\]\[22\],24.1
regfile.registers\[3\]\[25\],24.08
regfile.registers\[22\]\[22\],24.07
regfile.registers\[14\]\[23\],24.05
regfile.registers\[0\]\[16\],24.04
_2339_,24.035
_2116_,24.03
regfile.registers\[28\]\[0\],24.02
regfile.registers\[22\]\[17\],24.01
regfile.registers\[3\]\[7\],24
regfile.registers\[8\]\[4\],24
regfile.registers\[12\]\[4\],23.98
regfile.registers\[8\]\[7\],23.98
_2663_,23.94
regfile.registers\[19\]\[29\],23.94
_1482_,23.92
_1563_,23.92
regfile.registers\[16\]\[2\],23.92
regfile.registers\[1\]\[21\],23.92
regfile.registers\[24\]\[1\],23.92
regfile.registers\[28\]\[8\],23.92
_1112_,23.9
_1893_,23.9
_2789_,23.9
regfile.registers\[11\]\[20\],23.88
regfile.registers\[12\]\[20\],23.88
regfile.registers\[20\]\[13\],23.88
regfile.registers\[20\]\[24\],23.88
regfile.registers\[9\]\[2\],23.88
regfile.registers\[4\]\[22\],23.86
regfile.registers\[14\]\[19\],23.85
_2692_,23.84
regfile.registers\[0\]\[11\],23.84
regfile.registers\[13\]\[5\],23.82
regfile.registers\[9\]\[24\],23.81
_1390_,23.78
regfile.registers\[17\]\[0\],23.74
regfile.registers\[20\]\[19\],23.74
regfile.registers\[4\]\[2\],23.72
regfile.registers\[18\]\[16\],23.69
_2766_,23.66
regfile.registers\[30\]\[24\],23.64
regfile.registers\[31\]\[0\],23.62
regfile.registers\[6\]\[11\],23.605
regfile.registers\[21\]\[8\],23.6
regfile.registers\[8\]\[16\],23.6
_1636_,23.58
_2848_,23.54
regfile.registers\[9\]\[28\],23.54
regfile.registers\[14\]\[5\],23.535
regfile.registers\[17\]\[28\],23.52
_2461_,23.5
regfile.registers\[27\]\[23\],23.5
regfile.registers\[14\]\[25\],23.49
regfile.registers\[13\]\[21\],23.48
regfile.registers\[20\]\[14\],23.48
_2861_,23.44
regfile.registers\[3\]\[12\],23.43
regfile.registers\[5\]\[28\],23.42
regfile.registers\[8\]\[24\],23.4
regfile.registers\[8\]\[3\],23.4
regfile.registers\[28\]\[25\],23.38
regfile.registers\[2\]\[10\],23.37
_1385_,23.36
regfile.registers\[24\]\[31\],23.36
regfile.registers\[3\]\[13\],23.36
regfile.registers\[15\]\[16\],23.34
regfile.registers\[21\]\[16\],23.34
regfile.registers\[24\]\[26\],23.34
_1424_,23.32
regfile.registers\[8\]\[25\],23.32
regfile.registers\[29\]\[23\],23.3
regfile.registers\[31\]\[2\],23.3
_1956_,23.28
_2359_,23.28
_2585_,23.28
regfile.registers\[1\]\[15\],23.28
regfile.registers\[27\]\[26\],23.27
_2416_,23.26
regfile.registers\[7\]\[21\],23.26
regfile.registers\[8\]\[17\],23.26
_2866_,23.23
regfile.registers\[26\]\[30\],23.205
regfile.registers\[26\]\[0\],23.2
_2460_,23.18
regfile.registers\[2\]\[28\],23.17
regfile.registers\[5\]\[24\],23.14
regfile.registers\[24\]\[0\],23.13
regfile.registers\[24\]\[3\],23.1
regfile.registers\[28\]\[6\],23.1
regfile.registers\[3\]\[29\],23.1
regfile.registers\[24\]\[10\],23.08
regfile.registers\[25\]\[20\],23.06
regfile.registers\[18\]\[14\],23.05
regfile.registers\[16\]\[9\],23.04
regfile.registers\[18\]\[15\],23.035
regfile.registers\[16\]\[0\],23.02
regfile.registers\[12\]\[14\],23.01
regfile.registers\[20\]\[16\],23.01
_1843_,23
regfile.registers\[7\]\[17\],23
regfile.registers\[24\]\[19\],22.98
regfile.registers\[27\]\[10\],22.98
regfile.registers\[28\]\[4\],22.96
regfile.registers\[9\]\[16\],22.96
regfile.registers\[22\]\[6\],22.95
_2087_,22.92
_2735_,22.92
regfile.registers\[15\]\[26\],22.92
regfile.registers\[21\]\[24\],22.92
_1363_,22.9
regfile.registers\[16\]\[28\],22.9
regfile.registers\[5\]\[0\],22.9
_2624_,22.88
regfile.registers\[24\]\[28\],22.88
_1257_,22.86
regfile.registers\[11\]\[25\],22.84
regfile.registers\[15\]\[23\],22.84
regfile.registers\[8\]\[21\],22.84
regfile.registers\[20\]\[11\],22.82
regfile.registers\[22\]\[3\],22.81
regfile.registers\[11\]\[10\],22.8
regfile.registers\[20\]\[0\],22.8
regfile.registers\[23\]\[7\],22.8
regfile.registers\[29\]\[27\],22.8
_1413_,22.76
regfile.registers\[8\]\[11\],22.76
_1774_,22.7
_2601_,22.68
regfile.registers\[28\]\[2\],22.68
regfile.registers\[3\]\[19\],22.68
_0954_,22.665
_1032_,22.64
_2756_,22.62
regfile.registers\[26\]\[2\],22.565
regfile.registers\[28\]\[7\],22.56
regfile.registers\[26\]\[12\],22.555
_2940_,22.55
regfile.registers\[0\]\[23\],22.52
regfile.registers\[25\]\[6\],22.52
regfile.registers\[14\]\[18\],22.51
regfile.registers\[18\]\[1\],22.51
_2819_,22.5
regfile.registers\[20\]\[28\],22.5
regfile.registers\[29\]\[0\],22.5
regfile.registers\[4\]\[12\],22.48
regfile.registers\[5\]\[17\],22.48
regfile.registers\[17\]\[25\],22.46
regfile.registers\[12\]\[7\],22.44
regfile.registers\[3\]\[2\],22.42
regfile.registers\[4\]\[18\],22.42
_1122_,22.4
regfile.registers\[5\]\[4\],22.4
_2910_,22.38
regfile.registers\[0\]\[0\],22.38
regfile.registers\[8\]\[14\],22.38
regfile.registers\[9\]\[18\],22.38
regfile.registers\[4\]\[31\],22.36
regfile.registers\[20\]\[26\],22.34
regfile.registers\[20\]\[3\],22.32
regfile.registers\[2\]\[8\],22.295
regfile.registers\[14\]\[24\],22.275
regfile.registers\[11\]\[4\],22.26
regfile.registers\[21\]\[9\],22.24
regfile.registers\[14\]\[17\],22.235
_3589_,22.22
regfile.registers\[14\]\[14\],22.19
_1525_,22.16
_1941_,22.16
regfile.registers\[27\]\[1\],22.16
_2637_,22.14
regfile.registers\[4\]\[11\],22.14
regfile.registers\[19\]\[13\],22.1
clknet_leaf_111_CLK,22.1
_1486_,22.04
_2878_,22.04
regfile.registers\[13\]\[29\],22.04
regfile.registers\[30\]\[18\],22.03
_2435_,22.02
regfile.registers\[24\]\[15\],22.02
_2485_,22
regfile.registers\[0\]\[17\],22
regfile.registers\[11\]\[28\],21.98
regfile.registers\[19\]\[17\],21.98
regfile.registers\[27\]\[18\],21.98
regfile.registers\[18\]\[20\],21.975
regfile.registers\[6\]\[30\],21.975
_1975_,21.94
regfile.registers\[17\]\[31\],21.94
regfile.registers\[6\]\[3\],21.935
regfile.registers\[1\]\[5\],21.92
_2257_,21.9
_2875_,21.9
regfile.registers\[15\]\[13\],21.86
regfile.registers\[15\]\[14\],21.84
_1347_,21.8
regfile.registers\[15\]\[20\],21.8
regfile.registers\[11\]\[23\],21.78
_2475_,21.72
regfile.registers\[27\]\[2\],21.72
regfile.registers\[22\]\[4\],21.71
_1164_,21.7
_1296_,21.7
_1582_,21.7
regfile.registers\[28\]\[19\],21.7
_2635_,21.68
_2574_,21.66
_2824_,21.66
regfile.registers\[20\]\[20\],21.66
regfile.registers\[20\]\[25\],21.66
regfile.registers\[24\]\[20\],21.66
regfile.registers\[25\]\[2\],21.66
_1986_,21.64
_2633_,21.64
regfile.registers\[8\]\[5\],21.64
regfile.registers\[14\]\[31\],21.63
regfile.registers\[30\]\[11\],21.63
_1622_,21.62
_2055_,21.62
regfile.registers\[12\]\[0\],21.62
_1056_,21.58
_1644_,21.58
regfile.registers\[25\]\[10\],21.58
regfile.registers\[17\]\[17\],21.56
_2667_,21.54
regfile.registers\[13\]\[23\],21.54
regfile.registers\[17\]\[24\],21.54
regfile.registers\[28\]\[9\],21.54
regfile.registers\[17\]\[21\],21.5
regfile.registers\[8\]\[23\],21.5
net1143,21.5
_2382_,21.48
regfile.registers\[20\]\[29\],21.48
_1468_,21.46
regfile.registers\[7\]\[6\],21.46
_2197_,21.44
regfile.registers\[0\]\[24\],21.44
_2141_,21.42
regfile.registers\[19\]\[16\],21.42
regfile.registers\[3\]\[14\],21.42
regfile.registers\[10\]\[23\],21.395
regfile.registers\[22\]\[29\],21.39
_2529_,21.38
regfile.registers\[15\]\[10\],21.38
regfile.registers\[2\]\[5\],21.38
regfile.registers\[7\]\[23\],21.38
regfile.registers\[22\]\[5\],21.37
_2511_,21.36
regfile.registers\[5\]\[20\],21.34
_2449_,21.32
_2928_,21.3
_2762_,21.28
regfile.registers\[17\]\[3\],21.28
regfile.registers\[10\]\[26\],21.255
regfile.registers\[21\]\[20\],21.24
regfile.registers\[21\]\[23\],21.24
_2528_,21.22
regfile.registers\[9\]\[20\],21.22
regfile.registers\[22\]\[12\],21.21
_2900_,21.2
_1495_,21.18
regfile.registers\[13\]\[3\],21.16
regfile.registers\[2\]\[4\],21.15
regfile.registers\[19\]\[18\],21.14
regfile.registers\[3\]\[6\],21.14
_2977_,21.12
regfile.registers\[16\]\[14\],21.12
regfile.registers\[30\]\[21\],21.105
regfile.registers\[13\]\[2\],21.08
regfile.registers\[9\]\[29\],21.08
_2678_,21.06
regfile.registers\[27\]\[19\],21.06
regfile.registers\[3\]\[26\],21.04
regfile.registers\[24\]\[18\],21.03
regfile.registers\[26\]\[9\],21.03
regfile.registers\[0\]\[14\],21.02
regfile.registers\[28\]\[28\],21.02
regfile.registers\[29\]\[13\],21.02
regfile.registers\[7\]\[26\],21
regfile.registers\[13\]\[13\],20.98
regfile.registers\[20\]\[21\],20.98
regfile.registers\[29\]\[15\],20.98
regfile.registers\[15\]\[22\],20.96
regfile.registers\[23\]\[3\],20.96
regfile.registers\[7\]\[1\],20.94
regfile.registers\[9\]\[30\],20.94
regfile.registers\[25\]\[5\],20.92
_2719_,20.84
regfile.registers\[29\]\[17\],20.82
regfile.registers\[3\]\[22\],20.82
regfile.registers\[19\]\[21\],20.81
regfile.registers\[26\]\[28\],20.81
regfile.registers\[16\]\[13\],20.8
regfile.registers\[16\]\[7\],20.8
regfile.registers\[17\]\[2\],20.8
regfile.registers\[4\]\[14\],20.8
regfile.registers\[30\]\[6\],20.79
_2594_,20.78
regfile.registers\[16\]\[26\],20.78
_2775_,20.76
regfile.registers\[12\]\[12\],20.76
regfile.registers\[12\]\[16\],20.76
regfile.registers\[23\]\[2\],20.76
regfile.registers\[5\]\[19\],20.76
regfile.registers\[20\]\[12\],20.73
regfile.registers\[4\]\[20\],20.72
_1520_,20.7
regfile.registers\[13\]\[19\],20.7
regfile.registers\[1\]\[24\],20.7
regfile.registers\[3\]\[3\],20.7
regfile.registers\[30\]\[14\],20.69
_1594_,20.68
_1947_,20.66
_2598_,20.66
regfile.registers\[0\]\[27\],20.64
regfile.registers\[2\]\[25\],20.63
regfile.registers\[19\]\[0\],20.62
regfile.registers\[9\]\[14\],20.62
_2328_,20.61
_1461_,20.6
regfile.registers\[0\]\[29\],20.6
regfile.registers\[25\]\[15\],20.6
_2687_,20.58
regfile.registers\[31\]\[29\],20.58
regfile.registers\[8\]\[2\],20.56
_1635_,20.54
regfile.registers\[6\]\[12\],20.535
regfile.registers\[6\]\[22\],20.52
regfile.registers\[9\]\[11\],20.52
regfile.registers\[17\]\[6\],20.5
regfile.registers\[25\]\[13\],20.5
regfile.registers\[19\]\[20\],20.48
_2383_,20.44
regfile.registers\[12\]\[10\],20.44
regfile.registers\[12\]\[15\],20.44
regfile.registers\[16\]\[18\],20.44
_1917_,20.42
regfile.registers\[13\]\[20\],20.42
regfile.registers\[9\]\[3\],20.42
regfile.registers\[23\]\[13\],20.4
_2259_,20.38
regfile.registers\[1\]\[0\],20.38
regfile.registers\[24\]\[21\],20.38
regfile.registers\[0\]\[22\],20.36
regfile.registers\[30\]\[13\],20.355
regfile.registers\[0\]\[10\],20.34
regfile.registers\[15\]\[25\],20.34
regfile.registers\[2\]\[16\],20.335
_1133_,20.32
_2469_,20.32
regfile.registers\[23\]\[1\],20.32
_1225_,20.3
regfile.registers\[13\]\[26\],20.3
regfile.registers\[21\]\[12\],20.28
regfile.registers\[13\]\[24\],20.26
regfile.registers\[14\]\[4\],20.255
_2877_,20.24
regfile.registers\[12\]\[1\],20.24
regfile.registers\[6\]\[21\],20.23
_2387_,20.22
_2109_,20.2
regfile.registers\[28\]\[12\],20.2
regfile.registers\[28\]\[13\],20.19
_1132_,20.18
regfile.registers\[24\]\[22\],20.18
regfile.registers\[15\]\[29\],20.16
regfile.registers\[17\]\[23\],20.16
regfile.registers\[23\]\[14\],20.16
_1584_,20.14
regfile.registers\[29\]\[2\],20.14
regfile.registers\[14\]\[26\],20.135
regfile.registers\[4\]\[6\],20.12
regfile.registers\[7\]\[13\],20.12
regfile.registers\[26\]\[15\],20.115
_1305_,20.1
_1939_,20.1
_2606_,20.1
_2757_,20.1
_1462_,20.08
_2284_,20.08
regfile.registers\[12\]\[19\],20.06
regfile.registers\[21\]\[21\],20.04
regfile.registers\[29\]\[22\],20.04
regfile.registers\[14\]\[20\],20.03
regfile.registers\[30\]\[29\],20.025
regfile.registers\[23\]\[16\],20.02
regfile.registers\[6\]\[26\],20.015
regfile.registers\[17\]\[4\],20
regfile.registers\[1\]\[23\],20
regfile.registers\[28\]\[27\],20
regfile.registers\[24\]\[24\],19.98
regfile.registers\[28\]\[31\],19.98
regfile.registers\[7\]\[18\],19.98
_1878_,19.96
_2851_,19.94
regfile.registers\[19\]\[12\],19.93
regfile.registers\[23\]\[12\],19.92
regfile.registers\[30\]\[9\],19.92
regfile.registers\[7\]\[5\],19.92
_1185_,19.9
_2375_,19.84
regfile.registers\[30\]\[12\],19.835
regfile.registers\[30\]\[0\],19.815
regfile.registers\[22\]\[1\],19.795
regfile.registers\[26\]\[13\],19.795
regfile.registers\[22\]\[20\],19.79
_2369_,19.78
_2418_,19.78
regfile.registers\[5\]\[27\],19.78
regfile.registers\[7\]\[8\],19.75
regfile.registers\[23\]\[19\],19.74
net1139,19.74
regfile.registers\[2\]\[7\],19.73
regfile.registers\[9\]\[8\],19.72
_2308_,19.7
regfile.registers\[19\]\[22\],19.7
regfile.registers\[1\]\[4\],19.7
regfile.registers\[5\]\[21\],19.7
_1909_,19.68
regfile.registers\[18\]\[7\],19.67
regfile.registers\[3\]\[18\],19.66
regfile.registers\[18\]\[6\],19.65
_2522_,19.64
_1308_,19.58
regfile.registers\[18\]\[25\],19.575
regfile.registers\[2\]\[11\],19.575
regfile.registers\[0\]\[15\],19.56
_1770_,19.54
regfile.registers\[15\]\[11\],19.54
regfile.registers\[15\]\[2\],19.54
regfile.registers\[5\]\[25\],19.54
_0780_,19.505
_2513_,19.5
regfile.registers\[7\]\[14\],19.5
_2066_,19.48
_2711_,19.48
regfile.registers\[26\]\[14\],19.45
_1736_,19.44
regfile.registers\[30\]\[4\],19.41
_1876_,19.4
_2403_,19.4
regfile.registers\[0\]\[25\],19.4
_1573_,19.38
regfile.registers\[24\]\[23\],19.38
_2368_,19.36
regfile.registers\[3\]\[5\],19.36
regfile.registers\[22\]\[28\],19.355
_1507_,19.34
regfile.registers\[12\]\[5\],19.32
regfile.registers\[21\]\[15\],19.32
regfile.registers\[30\]\[3\],19.31
regfile.registers\[27\]\[9\],19.3
regfile.registers\[30\]\[5\],19.295
_2344_,19.28
_2909_,19.28
regfile.registers\[15\]\[21\],19.28
regfile.registers\[27\]\[24\],19.28
regfile.registers\[7\]\[28\],19.28
WD3[6],19.25
regfile.registers\[10\]\[24\],19.25
regfile.registers\[27\]\[17\],19.24
regfile.registers\[12\]\[17\],19.23
_2068_,19.22
regfile.registers\[16\]\[21\],19.22
regfile.registers\[0\]\[12\],19.2
regfile.registers\[21\]\[25\],19.2
regfile.registers\[8\]\[9\],19.2
_2994_,19.18
regfile.registers\[22\]\[27\],19.17
regfile.registers\[11\]\[19\],19.16
_2961_,19.14
_2892_,19.1
regfile.registers\[19\]\[24\],19.08
_1887_,19.065
_1470_,19.06
_1100_,18.98
_1137_,18.98
regfile.registers\[15\]\[19\],18.98
_1273_,18.94
_1261_,18.92
_2672_,18.92
regfile.registers\[17\]\[8\],18.92
_1165_,18.9
_2098_,18.9
_2520_,18.9
regfile.registers\[20\]\[2\],18.88
regfile.registers\[7\]\[4\],18.88
regfile.registers\[27\]\[7\],18.86
_1788_,18.82
_2158_,18.82
regfile.registers\[17\]\[7\],18.82
regfile.registers\[1\]\[12\],18.82
regfile.registers\[14\]\[29\],18.795
_2617_,18.76
_2744_,18.76
regfile.registers\[5\]\[22\],18.76
_1548_,18.74
regfile.registers\[7\]\[10\],18.74
regfile.registers\[23\]\[6\],18.72
regfile.registers\[5\]\[14\],18.7
_2791_,18.68
_1481_,18.64
_1069_,18.62
regfile.registers\[13\]\[12\],18.62
regfile.registers\[16\]\[12\],18.62
regfile.registers\[19\]\[14\],18.62
_1388_,18.6
_2020_,18.6
regfile.registers\[29\]\[3\],18.6
regfile.registers\[2\]\[1\],18.595
regfile.registers\[6\]\[7\],18.585
regfile.registers\[11\]\[6\],18.58
_2100_,18.56
regfile.registers\[10\]\[16\],18.555
_1372_,18.54
_1656_,18.54
_2830_,18.54
regfile.registers\[13\]\[28\],18.54
regfile.registers\[28\]\[15\],18.54
regfile.registers\[3\]\[4\],18.54
regfile.registers\[29\]\[31\],18.52
regfile.registers\[9\]\[17\],18.52
regfile.registers\[14\]\[3\],18.515
regfile.registers\[24\]\[30\],18.5
regfile.registers\[28\]\[16\],18.48
regfile.registers\[18\]\[12\],18.47
regfile.registers\[1\]\[2\],18.44
regfile.registers\[14\]\[16\],18.435
_2290_,18.4
_2476_,18.4
regfile.registers\[16\]\[22\],18.4
regfile.registers\[1\]\[29\],18.4
regfile.registers\[24\]\[14\],18.4
_1540_,18.38
_1931_,18.38
_1976_,18.38
regfile.registers\[15\]\[5\],18.38
_1236_,18.36
_1476_,18.36
_1862_,18.36
regfile.registers\[1\]\[9\],18.36
regfile.registers\[9\]\[7\],18.36
_1285_,18.34
regfile.registers\[0\]\[2\],18.32
regfile.registers\[11\]\[12\],18.32
regfile.registers\[23\]\[15\],18.32
regfile.registers\[6\]\[25\],18.315
regfile.registers\[7\]\[27\],18.31
regfile.registers\[8\]\[12\],18.3
_2559_,18.28
regfile.registers\[29\]\[29\],18.28
regfile.registers\[11\]\[1\],18.26
regfile.registers\[18\]\[5\],18.245
_2808_,18.24
_2983_,18.24
regfile.registers\[31\]\[18\],18.22
regfile.registers\[21\]\[17\],18.21
regfile.registers\[28\]\[29\],18.21
_1560_,18.2
regfile.registers\[23\]\[27\],18.2
regfile.registers\[7\]\[22\],18.2
regfile.registers\[10\]\[7\],18.195
_2381_,18.18
regfile.registers\[8\]\[26\],18.18
regfile.registers\[18\]\[29\],18.175
regfile.registers\[25\]\[22\],18.16
regfile.registers\[7\]\[30\],18.16
_2857_,18.08
regfile.registers\[23\]\[26\],18.08
regfile.registers\[18\]\[26\],18.07
_2583_,18.06
regfile.registers\[27\]\[5\],18.06
_2911_,18.04
regfile.registers\[4\]\[15\],18.04
_1562_,18.02
regfile.registers\[23\]\[23\],18.02
regfile.registers\[30\]\[27\],18.02
_2890_,18
_2119_,17.98
regfile.registers\[24\]\[9\],17.98
regfile.registers\[4\]\[8\],17.98
regfile.registers\[26\]\[1\],17.97
_1559_,17.96
_1500_,17.94
regfile.registers\[12\]\[8\],17.94
regfile.registers\[17\]\[18\],17.94
regfile.registers\[1\]\[25\],17.94
regfile.registers\[9\]\[10\],17.94
_2069_,17.9
regfile.registers\[3\]\[31\],17.9
_2572_,17.89
_1456_,17.88
_2904_,17.88
regfile.registers\[4\]\[13\],17.88
_2725_,17.875
_1808_,17.84
regfile.registers\[6\]\[6\],17.835
_4066_,17.82
_2084_,17.8
regfile.registers\[29\]\[1\],17.8
regfile.registers\[13\]\[1\],17.76
regfile.registers\[14\]\[9\],17.74
regfile.registers\[20\]\[8\],17.74
regfile.registers\[21\]\[29\],17.74
regfile.registers\[25\]\[21\],17.74
regfile.registers\[3\]\[16\],17.74
regfile.registers\[18\]\[30\],17.735
regfile.registers\[30\]\[31\],17.73
_2385_,17.72
regfile.registers\[0\]\[20\],17.72
regfile.registers\[3\]\[15\],17.72
_2164_,17.705
_1848_,17.7
_2794_,17.7
regfile.registers\[24\]\[4\],17.7
regfile.registers\[25\]\[12\],17.7
regfile.registers\[28\]\[20\],17.7
regfile.registers\[10\]\[19\],17.69
regfile.registers\[4\]\[25\],17.68
regfile.registers\[22\]\[25\],17.675
_2230_,17.66
_2616_,17.66
regfile.registers\[9\]\[27\],17.66
_2276_,17.64
_2362_,17.64
regfile.registers\[16\]\[27\],17.64
regfile.registers\[22\]\[19\],17.63
regfile.registers\[11\]\[13\],17.62
regfile.registers\[31\]\[9\],17.58
_0753_,17.565
regfile.registers\[22\]\[11\],17.555
_2415_,17.54
regfile.registers\[10\]\[4\],17.53
_1529_,17.52
_1619_,17.52
_2960_,17.52
_2986_,17.52
regfile.registers\[31\]\[14\],17.52
regfile.registers\[7\]\[0\],17.5
regfile.registers\[11\]\[3\],17.48
regfile.registers\[17\]\[1\],17.48
regfile.registers\[5\]\[2\],17.48
regfile.registers\[26\]\[16\],17.465
regfile.registers\[7\]\[2\],17.46
regfile.registers\[19\]\[28\],17.45
_1426_,17.44
regfile.registers\[12\]\[3\],17.44
regfile.registers\[17\]\[12\],17.44
_2896_,17.4
regfile.registers\[13\]\[4\],17.4
regfile.registers\[26\]\[29\],17.395
_2840_,17.38
regfile.registers\[8\]\[22\],17.38
regfile.registers\[6\]\[0\],17.37
_2853_,17.36
regfile.registers\[23\]\[0\],17.36
regfile.registers\[18\]\[19\],17.33
_3947_,17.32
_2077_,17.3
_2829_,17.3
regfile.registers\[10\]\[30\],17.295
regfile.registers\[18\]\[8\],17.285
WD3[4],17.28
_1792_,17.28
_2597_,17.28
regfile.registers\[14\]\[11\],17.27
regfile.registers\[18\]\[2\],17.27
regfile.registers\[2\]\[23\],17.265
regfile.registers\[27\]\[20\],17.26
regfile.registers\[2\]\[15\],17.26
regfile.registers\[10\]\[0\],17.255
_2352_,17.24
regfile.registers\[14\]\[30\],17.24
regfile.registers\[23\]\[24\],17.22
_2665_,17.2
_2790_,17.2
_1855_,17.18
regfile.registers\[11\]\[14\],17.18
regfile.registers\[9\]\[23\],17.14
net1144,17.14
regfile.registers\[10\]\[8\],17.135
regfile.registers\[6\]\[16\],17.135
regfile.registers\[1\]\[22\],17.12
_0108_,17.105
_2126_,17.1
regfile.registers\[15\]\[6\],17.1
_2161_,17.06
regfile.registers\[8\]\[19\],17.06
regfile.registers\[14\]\[2\],17.055
regfile.registers\[11\]\[16\],17.02
regfile.registers\[21\]\[19\],17.02
regfile.registers\[2\]\[30\],17.02
regfile.registers\[3\]\[28\],17.02
regfile.registers\[10\]\[27\],17.01
regfile.registers\[18\]\[13\],17.005
_2717_,17
regfile.registers\[12\]\[31\],17
regfile.registers\[17\]\[27\],16.98
regfile.registers\[1\]\[20\],16.98
regfile.registers\[31\]\[7\],16.98
regfile.registers\[5\]\[1\],16.98
regfile.registers\[6\]\[19\],16.97
regfile.registers\[11\]\[15\],16.96
regfile.registers\[26\]\[3\],16.955
regfile.registers\[26\]\[23\],16.95
_2396_,16.94
_1900_,16.92
regfile.registers\[27\]\[6\],16.92
regfile.registers\[16\]\[19\],16.9
regfile.registers\[27\]\[28\],16.86
_4254_,16.84
regfile.registers\[1\]\[27\],16.82
regfile.registers\[3\]\[20\],16.82
_0394_,16.805
regfile.registers\[19\]\[30\],16.8
_1392_,16.78
regfile.registers\[11\]\[0\],16.78
regfile.registers\[29\]\[21\],16.78
_2446_,16.76
_2650_,16.76
_1316_,16.74
_2341_,16.74
regfile.registers\[19\]\[19\],16.73
_1502_,16.72
regfile.registers\[15\]\[12\],16.72
regfile.registers\[29\]\[30\],16.72
_2768_,16.7
regfile.registers\[19\]\[9\],16.7
regfile.registers\[23\]\[17\],16.7
_2945_,16.68
_1128_,16.62
_2273_,16.62
regfile.registers\[13\]\[25\],16.62
regfile.registers\[18\]\[18\],16.62
regfile.registers\[6\]\[31\],16.61
_1775_,16.6
_2030_,16.6
_2483_,16.6
_2512_,16.6
regfile.registers\[4\]\[4\],16.6
_0323_,16.585
_1161_,16.58
_1458_,16.58
regfile.registers\[4\]\[9\],16.56
regfile.registers\[9\]\[25\],16.56
regfile.registers\[10\]\[25\],16.55
regfile.registers\[28\]\[21\],16.54
_2042_,16.5
_2454_,16.5
_2679_,16.5
regfile.registers\[30\]\[15\],16.495
regfile.registers\[2\]\[0\],16.44
regfile.registers\[4\]\[27\],16.44
regfile.registers\[22\]\[7\],16.425
_2788_,16.42
regfile.registers\[2\]\[18\],16.42
regfile.registers\[27\]\[15\],16.4
regfile.registers\[16\]\[17\],16.36
regfile.registers\[25\]\[28\],16.36
regfile.registers\[6\]\[14\],16.35
regfile.registers\[15\]\[31\],16.34
regfile.registers\[20\]\[10\],16.34
regfile.registers\[22\]\[15\],16.335
_1519_,16.32
_1280_,16.3
regfile.registers\[2\]\[24\],16.27
_2774_,16.26
regfile.registers\[16\]\[25\],16.26
_0016_,16.255
regfile.registers\[24\]\[16\],16.24
regfile.registers\[20\]\[22\],16.22
regfile.registers\[12\]\[21\],16.2
_4009_,16.18
regfile.registers\[4\]\[1\],16.18
_2233_,16.16
_2571_,16.16
regfile.registers\[12\]\[29\],16.15
regfile.registers\[22\]\[23\],16.15
_2046_,16.14
regfile.registers\[28\]\[1\],16.14
regfile.registers\[5\]\[5\],16.14
_1216_,16.1
_2247_,16.1
regfile.registers\[23\]\[31\],16.1
regfile.registers\[31\]\[6\],16.1
regfile.registers\[10\]\[31\],16.09
_1922_,16.08
net682,16.08
regfile.registers\[13\]\[11\],16.06
regfile.registers\[31\]\[23\],16.06
regfile.registers\[9\]\[13\],16.06
_2457_,16.04
_1575_,16.02
regfile.registers\[19\]\[23\],16.02
regfile.registers\[14\]\[13\],16.01
_2733_,16
_2777_,16
net1148,16
regfile.registers\[16\]\[30\],15.98
regfile.registers\[26\]\[27\],15.97
regfile.registers\[14\]\[28\],15.95
regfile.registers\[7\]\[24\],15.94
regfile.registers\[30\]\[25\],15.93
regfile.registers\[7\]\[16\],15.92
regfile.registers\[18\]\[9\],15.915
regfile.registers\[26\]\[7\],15.905
regfile.registers\[22\]\[9\],15.89
_2085_,15.88
regfile.registers\[5\]\[8\],15.88
_1980_,15.86
_3070_,15.86
_1250_,15.855
_1824_,15.84
_2743_,15.84
regfile.registers\[15\]\[7\],15.84
regfile.registers\[29\]\[19\],15.84
net262,15.84
regfile.registers\[25\]\[16\],15.82
regfile.registers\[24\]\[2\],15.8
regfile.registers\[8\]\[6\],15.8
regfile.registers\[12\]\[27\],15.78
regfile.registers\[27\]\[29\],15.78
